event,text,class_label,event_type
2013_bangladesh_savar-building-collapse,@sizzxo Bangladesh building-collapse toll climbs to 580: Bangladesh building-collapse toll climbs to 580       Asso...  @Brielle1101,informative,accident
2013_bangladesh_savar-building-collapse,Woman pulled from Bangladesh building collapse identified as Reshma,informative,accident
2013_bangladesh_savar-building-collapse,"RT @cnni: Bangladesh building collapse death toll passes 900, senior government officials tell CNN",informative,accident
2013_bangladesh_savar-building-collapse,"this is horrifying RT @nycjim: Death toll now 1,006 in #Bangladesh factory collapse.  ",informative,accident
2013_bangladesh_savar-building-collapse,Western retailers link to factory collapse in Bangladesh: video ,informative,accident
2013_bangladesh_savar-building-collapse,RT @mishurahman: what would be appropriate punishment fir just captured Rana plaza owner? Putting him inside rubble for 4 days n then jail?鈥?en,,accident
2013_bangladesh_savar-building-collapse,Brands Revisit Concerns Over Bangladesh After Building Collapse - Fox Business  #Bangladesh,informative,accident
2013_bangladesh_savar-building-collapse,"@tobeymonster Protests spread in Bangladesh amid arrests: SAVAR, Bangladesh (AP) 鈥?Police in Bangladesh arrested two owners of a garm...",informative,accident
2013_bangladesh_savar-building-collapse,Murder complaint in Bangladesh building collapse - Irish Times: AFPMurder complaint in Bangladesh build...  #world,informative,accident
2013_bangladesh_savar-building-collapse,"RT @samala: MT @GoodTalkMedia For info on brands in #Bangladesh factory fire, check out Inst for Global Labor &amp; Human Rights: ",,accident
2013_bangladesh_savar-building-collapse,My thought &amp; prayers are with the victims and their families. Truly is a crule &amp; unjust tragedy. #Bangladesh #Dhakabuildingcollapse,informative,accident
2013_bangladesh_savar-building-collapse,Death toll in Bangladesh building collapse climbs to 160 ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @thinkprogress: As Bangladesh death toll exceeds 300 from factory collapse, U.S. retailers refuse new safety standards ",,accident
2013_bangladesh_savar-building-collapse,RT @SBSNews: BREAKING NEWS: At least 60 dead in Bangladesh building collapse - more details to come,informative,accident
2013_bangladesh_savar-building-collapse,"Bangladesh owner is at nexus of politics, business: SAVAR, Bangladesh (AP) 鈥?When the cracks in the building appeared e...  @tobeymonster",informative,accident
2013_bangladesh_savar-building-collapse,"Bangladesh Ends Search For Survivors Of Building Collapse; 1,127 Bodies Recovered ",informative,accident
2013_bangladesh_savar-building-collapse,RT @Projonmo13: Our heart &amp; prayer goes for the Savar building collapse. #shahbag #saveBangladesh #pray4SAVAR #Bangladesh,informative,accident
2013_bangladesh_savar-building-collapse,RT @NickKristof: No words RT @greenhousenyt: This haunting photo could become symbol of Bangladesh building collapse ,informative,accident
2013_bangladesh_savar-building-collapse,New post: Bangladesh building collapse leaves 83 dead - Xinhua ,informative,accident
2013_bangladesh_savar-building-collapse,RT @inhabitat: Bad Buildings Kill - Rana Plaza and the Case For Stringent Building Practices ,informative,accident
2013_bangladesh_savar-building-collapse,#politics #political AP PHOTOS: Bangladesh building collapse:           ...  #news #media #usa #i,informative,accident
2013_bangladesh_savar-building-collapse,"RT @AP: BREAKING: Death toll in Bangladesh factory collapse soars past 1,000 as recovery operation continues. -MM",informative,accident
2013_bangladesh_savar-building-collapse,"Bangladesh factory collapse kills over 80, reviving safety questions - CNN: Telegraph.co.ukBangladesh factory ... ",informative,accident
2013_bangladesh_savar-building-collapse,"Bangladesh Garment Industry Reliant on Flimsy Oversight: In Savar, Bangladesh, where hurriedly built factories... ",informative,accident
2013_bangladesh_savar-building-collapse,Death toll reaches 124 in Bangladesh building collapse ,informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh building collapse kills at least 76 garment workers ,informative,accident
2013_bangladesh_savar-building-collapse,RT @YahooNews: Death toll in Bangladesh building collapse rises to 175; rescuers say many more still trapped in rubble. ,,accident
2013_bangladesh_savar-building-collapse,Man with placard outside #Primark on Oxford St They died so you could wear cheap clothes #Bangladesh. All power to him.,informative,accident
2013_bangladesh_savar-building-collapse,"RT @mikebutcher: Next time you want to buy some cheap clothes at Primark or Bonmarche, remember #RanaPlaza ",informative,accident
2013_bangladesh_savar-building-collapse,"@SancheezyRican Bangladesh police interrogate building's owner: SAVAR, Bangladesh (AP) 鈥?A Bangladesh court has given p...  @tobeymonster",informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh factoy-collapse toll passes 400: EU says it may use trade as leverage for improvements in working c... ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @AP: BREAKING: Search for dead in Bangladesh collapse over; 1,127 killed in worst garment industry disaster.",informative,accident
2013_bangladesh_savar-building-collapse,Do US retailers hope you'll forget the tragedy in #Bangladesh?  More w/ @ChristineRomans on #CNN Sat 2p/Sun 3p EST.,informative,accident
2013_bangladesh_savar-building-collapse,Fire breaks out in #Bangladesh building where 377 die *THERE ARE A LOT OF AWFUL WAYS TO DIE &amp; THIS IS 1 OF THEM  #NEWS,informative,accident
2013_bangladesh_savar-building-collapse,"Loblaw plans more actions after Bangladesh building collapse: Loblaw Cos Ltd, Canada's largest food retailer, ... ",informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh mourns as death toll climbs: Country holds day of mourning after collapse of clothing factory in Dh... ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @DarlonSS: This building collapse in Bangladesh where 400 people died and 2,500 were injured! how many hashtags did you see about that? 鈥?en",,accident
2013_bangladesh_savar-building-collapse,#Bangladesh building collapse toll tops 640. Read:     #caribbeanbusiness,informative,accident
2013_bangladesh_savar-building-collapse,RT @MikeElk: RT @stevesilberman Police had ordered evacuation of doomed Bangladesh sweatshops day before collapse. ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @ShahbagInfo: URGENT REQUEST: LOTS of flashlights, electric lanterns needed for rescue effort at night in #Savar building collapse site.鈥?en",,accident
2013_bangladesh_savar-building-collapse,RT @davidbangladesh: #bangladesh Fire service explains why it did not use specialist donor funded search and rescue cameras ,,accident
2013_bangladesh_savar-building-collapse,"RT @itvnews: The death toll from the garment factory collapse in Bangladesh has reached 800, police said. ",informative,accident
2013_bangladesh_savar-building-collapse,"Pressure mounts on Bangladesh, clothing brands to fix factories after deadly collapse | Globalnews.ca ",informative,accident
2013_bangladesh_savar-building-collapse,RT@Asher_Wolf #Guardian: Bangladesh eases trade union laws after factory building collapse   #1u,informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh's prime minister calls for punishment in building collapse:        ,informative,accident
2013_bangladesh_savar-building-collapse,Death toll at Bangladesh factory collapse site hits 803 as 18 other factories are closed in safety crackdown: ... ,informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh factories reopen after collapse: Bangladesh's reopened garment firms are rushing to complete delaye... ,informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh collapse survivor finished with factory work ,informative,accident
2013_bangladesh_savar-building-collapse,#Bangladesh RT: 鈥淍greenhousenyt: labor &amp;human rights grps turned up pressure. H&amp;M 1st to sign landmark safety plan. ,,accident
2013_bangladesh_savar-building-collapse,"Globalisation links factories in #Bangladesh to stores in Britain, unmask commodity fetishism &amp; support workers' organisation in sweatshops.",informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh factory collapse: Primark to pay compensation via@telegraph ,informative,accident
2013_bangladesh_savar-building-collapse,"#Nolefam ,Please pray for the victims of the disaster where more than 70 people has died in a building collapse, more trapped in Bangladesh",informative,accident
2013_bangladesh_savar-building-collapse,What will stop the next Bangladesh factory collapse? @hm @gap ,informative,accident
2013_bangladesh_savar-building-collapse,Wow! RT @BreakingNews: Bangladesh rescuers confirm they have freed survivor of building collapse after 17 days - @AP,informative,accident
2013_bangladesh_savar-building-collapse,"Bangladesh Building Collapse: Fatalities Reported, Others Feared Trapped: DHAKA, Bangladesh 鈥?An 8-story comme... ",informative,accident
2013_bangladesh_savar-building-collapse,"Bangladesh garment factories collapse over 1100 deaths, over 1000 seriously injured. Yet major stores still refuse to sign safety pledge",informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh to end search for factory collapse victims  at ,informative,accident
2013_bangladesh_savar-building-collapse,"@SancheezyRican Surviving hell in a Bangladesh factory collapse: SAVAR, Bangladesh (AP) 鈥?Merina was so tired. It had b...  @tobeymonster",informative,accident
2013_bangladesh_savar-building-collapse,#BangladeshCollapse: #Bangladesh building owner sent to 15-days police custody,informative,accident
2013_bangladesh_savar-building-collapse,@tomfooleryhq International Worker's Day tribute to the Bangladesh Factory Collapse victims ,informative,accident
2013_bangladesh_savar-building-collapse,Army help with rescue after Bangladesh Dhaka building collapse ,informative,accident
2013_bangladesh_savar-building-collapse,RT @goonerzade: Viewer discretion is advised..really hard to hold back the tears after seeing such scenes all day #Bangladesh #Savar http:/鈥?en,,accident
2013_bangladesh_savar-building-collapse,Couple embraced is found among remains of collapsed building in #Bangladesh. --&gt;  ,informative,accident
2013_bangladesh_savar-building-collapse,"Cranes clear Bangladesh disaster site as hopes fade:  SAVAR, Bangladesh - Cranes began clearing the wreckage o... ",informative,accident
2013_bangladesh_savar-building-collapse,2 engineers held in Bangladesh building collapse: Police in Bangladesh arrested two owners of a garment factor... ,informative,accident
2013_bangladesh_savar-building-collapse,Race against time at Bangladesh factory building collapse site  #FollowBack,informative,accident
2013_bangladesh_savar-building-collapse,"RT @WSJ: 17 days after Bangladesh factory collapse, rescue workers have freed a woman trapped under rubble. ",informative,accident
2013_bangladesh_savar-building-collapse,RT @ShahbagInfo: #SAVAR UPDATE: 270 dead so far; 213 dead bodies are handed over to relatives; many survivors still trapped inside. #Shahba鈥?en,,accident
2013_bangladesh_savar-building-collapse,"RT @BreakingNews: Report: Fire 'kills last survivor from Bangladesh building collapse,' country's fire chief says - @AFP ",,accident
2013_bangladesh_savar-building-collapse,Bangladesh factory building collapse kills nearly 100: A crack was detected in the structure yesterday but wor... ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @YourAnonLive: Update: Death toll in #Bangladesh factory collapse passes 1,000.",informative,accident
2013_bangladesh_savar-building-collapse,Bangladesh building collapse kills at least 87 - TEKJournalismUK - Mozilla Firefox  Death toll now at least 87,informative,accident
2013_bangladesh_savar-building-collapse,"RT @ajaishukla: Death toll in Bangladesh factory collapse crosses 1000, sounds almost like the World Trade Centre. Even my dulled Indian se鈥?en",,accident
2013_bangladesh_savar-building-collapse,I just uploaded Bangladesh building collapse live to Vimeo: ,informative,accident
2013_bangladesh_savar-building-collapse,Breaking News: Death toll in Bangladesh building collapse at 161 ,informative,accident
2013_bangladesh_savar-building-collapse,"2 minute photofilm of haunting,inspiring images of #women garment factory workers in #Bangladesh:  pls RT",informative,accident
2013_bangladesh_savar-building-collapse,"@tobeymonster Tears and Rage as Hope Fades in Bangladesh: The collapse of the building, the Rana Plaza, is considered...  @SancheezyRican",informative,accident
2013_bangladesh_savar-building-collapse,Dying for Some New Clothes: Bangladesh鈥檚 Rana Plaza Tragedy: If the world wants an image that sums up the true... ,informative,accident
2013_bangladesh_savar-building-collapse,RT @AbbyMartin: Death toll from #Bangladesh garment factory collapse has surpassed 800. The most haunting photo from the disaster: ,,accident
2013_bangladesh_savar-building-collapse,"Day after cracks were found, Bangladesh factory collapse leaves 125-plus dead ",informative,accident
2013_bangladesh_savar-building-collapse,Heartbreaking Final Embrace from the Bangladesh Factory Collapse ,informative,accident
2013_bangladesh_savar-building-collapse,"@tobikinz Workers pinned in Bangladesh rubble cry for rescue: SAVAR, Bangladesh (AP) 鈥?Save us, brother. I beg you, brother...  @slaylly",informative,accident
2013_bangladesh_savar-building-collapse,"European, U.S. retailers split on #Bangladesh reform plan |  | 1.127 dead people isn't enough for them to agree?",informative,accident
2013_bangladesh_savar-building-collapse,RT @MonaShark: #CNN International: Death toll in #Bangladesh building collapse now exceeds 500. #scandal of massive proportions ignored鈥?v 鈥?en,,accident
2013_bangladesh_savar-building-collapse,"RT @NewsBreaker: BREAKING: Poor quality construction materials blamed for Bangladesh building collapse that killed 1,100 people - @AP http:鈥?en",,accident
2013_bangladesh_savar-building-collapse,RT @itsericbrown: In the wake of the #Bangladesh factory tragedy. Check out @BanTshirts - US made. Boycott poorly regulated super-chains li鈥?en,,accident
2013_bangladesh_savar-building-collapse,"@tobeymonster Bangladesh police detain 2 engineers involved in approving collapsed building's design: SAVAR, Bangladesh (AP) 鈥?Bangla...",informative,accident
2013_bangladesh_savar-building-collapse,"In #bangladesh ,the Rana Plaza disaster and rise of #political violence speak to lost of #humanrights",informative,accident
2013_bangladesh_savar-building-collapse,"RT @Memzers: If a building with 3000 workers in it would collapse in white western world, that would be 24/7 news. #Bangladesh cannot be fo鈥?en",,accident
2013_bangladesh_savar-building-collapse,Bangladesh vows reform following factory collapse ,informative,accident
2013_bangladesh_savar-building-collapse,RT @CBSNews: Death toll in Bangladesh building collapse surges past 500; engineer arrested ,informative,accident
2013_bangladesh_savar-building-collapse,Turn into @KOMUnews for the latest in local news and an amazing story of survival from the Bangladesh factory collapse./via @kerryleary,informative,accident
2013_bangladesh_savar-building-collapse,"RT @rafisBlackDiary: Alhamdulliah RT @bbcworld 40 people rescued from room in collapsed factory compound in Dhaka, #Bangladesh ",,accident
2013_bangladesh_savar-building-collapse,Bangladesh collapse survivors demand pay as toll tops 750 | Daily Online News ,informative,accident
2013_bangladesh_savar-building-collapse,RT @AJELive: #Bangladesh factory tragedy rescue chief says #Dhaka  building's death toll is now 290 | #AlJazeeraEnglish | #AJE ,,accident
2013_bangladesh_savar-building-collapse,鈥淍BDnews: Death Toll Passes 1000 in Bangladesh Collapse - New York Times  #Bangladesh鈥?(via @the_mcquade),informative,accident
2013_bangladesh_savar-building-collapse,"RT @nprnews: Bangladesh Factory Collapse Death Toll Crosses 1,000 ",informative,accident
2013_bangladesh_savar-building-collapse,"RT @CitizenRadio: Cleveland kidnappings and normalizing dehumanization of women, 800 dead in Bangladesh building collapse ",,accident
2013_bangladesh_savar-building-collapse,"#LATEST: Bangladesh garment factory collapse toll passes 1,000 killed as more bodies found in wreckage  ",informative,accident
2013_bangladesh_savar-building-collapse,"AP PHOTOS: Survivors found in Bangladesh collapse: By The Associated Press Working round-the-clock, rescuers h... ",informative,accident
2013_bangladesh_savar-building-collapse,鈥淍Channel4News: Death toll in Bangladesh factory building collapse passes 900 as recovery continues. #c4news鈥?// Horrendous,informative,accident
2013_bangladesh_savar-building-collapse,#bdnews #bangladesh Bangladesh faces loss of U.S. tariff breaks because of labor conditions: Such agencies as ... ,informative,accident
2013_bangladesh_savar-building-collapse,RT @sunny_hundal: .@Primarkjobs @Mango @Matalan: ensure safety for workers &amp; compensate victims of building collapse in Bangladesh http鈥?en,,accident
2013_bangladesh_savar-building-collapse,RT @AsCorrespondent: #Bangladesh building collapse death toll nears 350 -  #buildingcollapse,informative,accident
2013_bangladesh_savar-building-collapse,More survivors unlikely in Bangladesh building collapse - CNN ,informative,accident
2013_bangladesh_savar-building-collapse,RT @TIME: The most haunting photo from the Bangladesh factory collapse |  (via @TIMEPictures),informative,accident
2013_bangladesh_savar-building-collapse,RT @TheAtlanticWire: Woman pulled alive from Bangladesh factory collapse after 17 days with no significant injuries. ,,accident
2013_bangladesh_savar-building-collapse,"Bangladesh building collapse: Bosses, engineers held, death toll at 337  #4MoreYears4Najib",informative,accident
2013_bangladesh_savar-building-collapse,RT @beenasarwar: We RISE for Workers in #Bangladesh   Workers were forced to go into the bldg to work despite huge cr鈥?en,,accident
2013_bangladesh_savar-building-collapse,Will outrage following a factory collapse in Bangladesh lead to safer working conditions? - Viewpoint // Current TV ,informative,accident
2013_bangladesh_savar-building-collapse,RT @ChannelNewsAsia: Man haunted by trauma of sawing off woman鈥檚 hand to save her from #garmentfactory collapse in #Bangladesh ,,accident
2013_bangladesh_savar-building-collapse,eKantipur:Bittersweet end for missing in Bangladesh collapse ,informative,accident
2013_bangladesh_savar-building-collapse,"RT @BBCBreaking: #Bangladesh rescue workers free surviving woman named Reshma from collapsed building in Dhaka, 17 days after it collapsed",informative,accident
2013_bangladesh_savar-building-collapse,RT @minamaya13: RT&amp;SIGN! @Primarkjobs @Mango @Matalan: Ensure workers safety &amp; compensate victims #Bangladesh ,,accident
2013_bangladesh_savar-building-collapse,Efforts to find survivors in Bangladesh collapse end: Officials: It's now a body recovery and debris removal o... ,informative,accident
2013_bangladesh_savar-building-collapse,"@tobeymonster Bangladesh building collapse death toll hits 362: SAVAR, Bangladesh (AP) 鈥?Bangladesh rescuers on Sunday lo...  @lifestr3am",informative,accident
